
Host: login

Timers On : Mon Apr 18 15:12:33 2022
Timers Off: Mon Apr 18 15:12:35 2022

Wall Time:        2.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: login

Timers On : Mon Apr 18 15:16:47 2022
Timers Off: Mon Apr 18 15:16:58 2022

Wall Time:       11.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Bia                           :      0.033u      0.050s      0.017w      6 calls
| DFMP2 Metric                      :      0.033u      0.033s      0.013w      6 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Aia Read                    :      0.000u      0.017s      0.001w      6 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.000w      6 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.000w      6 calls
DFMP2 Energy                        :      0.000u      0.000s      0.003w      6 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w     12 calls
JK: D                               :      0.000u      0.000s      0.000w      5 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      5 calls
JK: JK                              :      0.017u      0.000s      0.003w      5 calls
| JK: J                             :      0.017u      0.000s      0.001w      5 calls
| | JK: J1                          :      0.000u      0.000s      0.000w      5 calls
| | JK: J2                          :      0.017u      0.000s      0.000w      5 calls
| JK: K                             :      0.000u      0.000s      0.002w      1 calls
| | JK: K1                          :      0.000u      0.000s      0.002w      1 calls
| | JK: K2                          :      0.000u      0.000s      0.000w      1 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      5 calls
SAPT0: DF Integrals                 :      0.050u      0.000s      0.039w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      4 calls
SAPT0: W Integrals                  :      0.000u      0.000s      0.000w      1 calls
SAPT0: Elst10                       :      0.000u      0.000s      0.000w      1 calls
SAPT0: Exch10                       :      0.000u      0.000s      0.026w      1 calls
SAPT0: Exch10 S^2                   :      0.000u      0.000s      0.000w      1 calls
SAPT0: Ind20                        :      0.017u      0.000s      0.002w      1 calls
SAPT0: Exch-Ind20                   :      0.000u      0.000s      0.001w      1 calls
SAPT0: Exch-Disp20 N^5              :      0.000u      0.017s      0.003w      1 calls
SAPT0: Exch-Disp20 N^4              :      0.000u      0.000s      0.011w      1 calls

**************************************************************************************
